metric,job_id,n_intervals,n_windows,mean,std,min,max
branch_misprediction_rate,43325,62,7,0.2601955693819237,0.1737416731857032,0.1838717280174599,0.685647170313979
branch_misprediction_rate,43319,12,2,0.34061236790914007,0.153527420684924,0.1870849472242161,0.4941397885940641
branch_misprediction_rate,43298,82,9,2.5733308683291964,0.0740639917285508,2.458137717778964,2.707049208396108
branch_misprediction_rate,43290,168,17,2.1990251195137587,0.6364799196117381,1.4669965268070908,3.0847963192187087
branch_misprediction_rate,43272,111,12,0.19360684854415067,0.07210532328444405,0.1313147353729405,0.4206108892151229
branch_misprediction_rate,43260,14,2,1.7518582131313516,0.11643658198762308,1.6354216311437284,1.8682947951189746
branch_misprediction_rate,43236,186,19,0.44209056967240956,0.14118311964931177,0.19075838744561285,0.8195280179600651
branch_misprediction_rate,43195,1443,145,1.8366769440730304,0.3660030384764523,1.566280452801935,3.110926894420687
branch_misprediction_rate,43141,93,10,1.427673278356523,0.324250650446947,1.1544131220010492,2.106360444958056
branch_misprediction_rate,43129,8,1,1.349371709475496,0.0,1.349371709475496,1.349371709475496
branch_misprediction_rate,43118,37,4,1.6587542408919775,0.028255794234493117,1.6183368886087184,1.6935355192664805
branch_misprediction_ratio,43325,62,7,1.1932550177036514,0.7509763203025804,0.8210507154855484,3.0306047584585154
branch_misprediction_ratio,43319,12,2,1.346184774805422,0.5930339681209134,0.7531508066845086,1.9392187429263354
branch_misprediction_ratio,43298,82,9,10.829581506698716,0.32210046982668644,10.126219810896643,11.304067922378321
branch_misprediction_ratio,43290,168,17,9.408267424808209,2.6338021612369533,6.3571385754311995,13.085417113773417
branch_misprediction_ratio,43272,111,12,1.1911202289379978,0.3382052388310969,0.792308365167424,1.8612145787656473
branch_misprediction_ratio,43260,14,2,7.5824345821422146,0.5106322381400705,7.071802344002144,8.093066820282285
branch_misprediction_ratio,43236,186,19,2.1236761616290196,0.5989647231122016,0.9595957033729843,3.6050104700554577
branch_misprediction_ratio,43195,1443,145,8.164525316221651,1.4915195441190985,6.946768030748406,13.334025194694647
branch_misprediction_ratio,43141,93,10,7.212623109873343,0.9874108259309913,6.383469093305264,9.289286070929757
branch_misprediction_ratio,43129,8,1,5.893505171222994,0.0,5.893505171222994,5.893505171222994
branch_misprediction_ratio,43118,37,4,9.097187503852194,0.21274568147823159,8.737011680693817,9.271471765125492
l3_bandwidth,43325,62,7,0.1966358220625562,0.03805188821847291,0.1098345076100956,0.21885703370300694
l3_bandwidth,43319,12,2,0.03275452141024276,0.010845085107903442,0.021909436302339314,0.0435996065181462
l3_bandwidth,43298,82,9,0.032783810699002415,0.0017055784179783285,0.029658963181945153,0.034034515868289164
l3_bandwidth,43290,168,17,0.03960625432698268,0.0014197619544665295,0.03508379688338441,0.04059240004667294
l3_bandwidth,43272,111,12,0.3984207737173151,0.12030633428882664,7.788504435120209e-07,0.4444404998401396
l3_bandwidth,43260,14,2,0.02518829427553173,0.0026268794159389625,0.022561414859592767,0.027815173691470692
l3_bandwidth,43236,186,19,0.05892813095834879,0.13996940429876,0.006038995920767449,0.47393771175614136
l3_bandwidth,43195,1443,145,0.0048172467471208685,0.0005847960619259539,0.002164271525832178,0.007089487845372951
l3_bandwidth,43141,93,10,0.20801473441537163,0.13039932533743356,0.008664051687214161,0.34872131163582215
l3_bandwidth,43129,8,1,0.2908053033408559,0.0,0.2908053033408559,0.2908053033408559
l3_bandwidth,43118,37,4,0.004962836536149753,0.0009091644967537399,0.003636443068881857,0.006198389364982735
l3_miss_rate,43325,62,7,0.6350008423927739,0.04673362687409888,0.5409553863105304,0.7089109691215745
l3_miss_rate,43319,12,2,0.12793200550394423,0.06438085296891893,0.06355115253502532,0.19231285847286317
l3_miss_rate,43298,82,9,0.17492558366343874,0.02275597235809028,0.14678992803837326,0.21670284608638096
l3_miss_rate,43290,168,17,0.8112726259896825,0.05203615950630983,0.6988524281921642,0.8669049299171284
l3_miss_rate,43272,111,12,0.4996551116466435,0.26813804857592793,0.3508002944123733,1.3855778258790048
l3_miss_rate,43260,14,2,0.6070096094951434,0.06570646661224955,0.5413031428828938,0.6727160761073929
l3_miss_rate,43236,186,19,0.3047758197598875,0.16350784781215555,0.1830014026706403,0.7747799339886814
l3_miss_rate,43195,1443,145,0.3721659140606103,0.1146772256803684,0.17788096750946822,0.7297512280323419
l3_miss_rate,43141,93,10,0.10134768308179268,0.091003388032703,0.03662902844382515,0.3598416990250905
l3_miss_rate,43129,8,1,0.4693307705420028,0.0,0.4693307705420028,0.4693307705420028
l3_miss_rate,43118,37,4,1.832071346064441,0.1047169065249674,1.6884640014812793,1.9322742541027662
l3_miss_ratio,43325,62,7,0.7629698404040269,0.11468991411150238,0.4862473648350877,0.8200661635049151
l3_miss_ratio,43319,12,2,0.2295923377619174,0.012453498103239743,0.21713883965867767,0.24204583586515716
