bottleneck_type,classifier,tp,fp,fn,tn,f1,far,miss
BRANCH_MISPREDICTION,XGBoost,73,1,1,206,0.9864864864864865,0.004830917874396135,0.013513513513513514
CACHE_PRESSURE,XGBoost,79,23,20,159,0.7860696517412935,0.12637362637362637,0.20202020202020202
COMPUTE_UNDERUTILIZATION,XGBoost,173,22,0,86,0.9402173913043478,0.2037037037037037,0.0
INTRA_NODE_LOAD_IMBALANCE,XGBoost,139,0,2,140,0.9928571428571429,0.0,0.014184397163120567
PIPELINE_STALL,XGBoost,89,22,5,165,0.8682926829268293,0.11764705882352941,0.05319148936170213
PRECISION_WASTE,XGBoost,171,8,28,74,0.9047619047619048,0.0975609756097561,0.1407035175879397
BRANCH_MISPREDICTION,RF,74,14,0,193,0.9135802469135802,0.06763285024154589,0.0
CACHE_PRESSURE,RF,79,31,20,151,0.7559808612440191,0.17032967032967034,0.20202020202020202
COMPUTE_UNDERUTILIZATION,RF,158,19,15,89,0.9028571428571428,0.17592592592592593,0.08670520231213873
INTRA_NODE_LOAD_IMBALANCE,RF,141,26,0,114,0.9155844155844156,0.18571428571428572,0.0
PIPELINE_STALL,RF,87,35,7,152,0.8055555555555556,0.18716577540106952,0.07446808510638298
PRECISION_WASTE,RF,181,8,18,74,0.9329896907216495,0.0975609756097561,0.09045226130653267
