classifier,bottleneck_type,fp_median_prob,fn_median_prob
xgboost,BRANCH_MISPREDICTION,0.9984633922576904,0.004806275479495525
xgboost,CACHE_PRESSURE,0.9732552766799927,0.01246970146894455
xgboost,COMPUTE_UNDERUTILIZATION,0.9887908101081848,
xgboost,INTRA_NODE_LOAD_IMBALANCE,,0.0070462580770254135
xgboost,PIPELINE_STALL,0.9461241662502289,0.02191135287284851
xgboost,PRECISION_WASTE,0.8791238069534302,0.05845059081912041
rf,BRANCH_MISPREDICTION,0.255,
rf,CACHE_PRESSURE,0.5025000000000001,0.1875
rf,COMPUTE_UNDERUTILIZATION,0.45,0.325
rf,INTRA_NODE_LOAD_IMBALANCE,0.33,
rf,PIPELINE_STALL,0.3875,0.28
rf,PRECISION_WASTE,0.855,0.26
