fs_variant,outer_fold,bottleneck_type,n_windows,n_positive,n_negative,n_features,feature_fraction,avg_features_all_types,train_time_s,tp,fp,fn,tn,f1,false_alarm_rate,miss_rate
fdr+imp,1,PIPELINE_STALL,69,13,56,46,0.025,23.83333333333333,46.5291166305542,13,5,0,51,0.8387096774193548,0.0892857142857142,0.0
fdr+imp,1,COMPUTE_UNDERUTILIZATION,69,30,39,37,0.0201086956521739,23.83333333333333,46.5291166305542,30,10,0,29,0.8571428571428571,0.2564102564102564,0.0
fdr+imp,1,PRECISION_WASTE,69,53,16,22,0.0119565217391304,23.83333333333333,46.5291166305542,53,0,0,16,1.0,0.0,0.0
fdr+imp,1,BRANCH_MISPREDICTION,69,15,54,1,0.0005434782608695,23.83333333333333,46.5291166305542,15,0,0,54,1.0,0.0,0.0
fdr+imp,1,CACHE_PRESSURE,69,20,49,34,0.0184782608695652,23.83333333333333,46.5291166305542,15,9,5,40,0.6818181818181818,0.1836734693877551,0.25
fdr+imp,1,INTRA_NODE_LOAD_IMBALANCE,69,30,39,3,0.0016304347826086,23.83333333333333,46.5291166305542,28,0,2,39,0.9655172413793104,0.0,0.0666666666666666
fdr+imp,2,PIPELINE_STALL,76,14,62,37,0.0201086956521739,27.666666666666668,46.401734828948975,14,6,0,56,0.8235294117647058,0.0967741935483871,0.0
fdr+imp,2,COMPUTE_UNDERUTILIZATION,76,60,16,41,0.0222826086956521,27.666666666666668,46.401734828948975,60,1,0,15,0.9917355371900828,0.0625,0.0
fdr+imp,2,PRECISION_WASTE,76,47,29,35,0.0190217391304347,27.666666666666668,46.401734828948975,47,27,0,2,0.7768595041322314,0.9310344827586208,0.0
fdr+imp,2,BRANCH_MISPREDICTION,76,37,39,1,0.0005434782608695,27.666666666666668,46.401734828948975,19,0,18,39,0.6785714285714285,0.0,0.4864864864864865
fdr+imp,2,CACHE_PRESSURE,76,14,62,51,0.0277173913043478,27.666666666666668,46.401734828948975,14,0,0,62,1.0,0.0,0.0
fdr+imp,2,INTRA_NODE_LOAD_IMBALANCE,76,58,18,1,0.0005434782608695,27.666666666666668,46.401734828948975,58,0,0,18,1.0,0.0,0.0
fdr+imp,3,PIPELINE_STALL,64,38,26,24,0.0130434782608695,26.5,48.51171565055847,34,2,4,24,0.918918918918919,0.0769230769230769,0.1052631578947368
fdr+imp,3,COMPUTE_UNDERUTILIZATION,64,39,25,46,0.025,26.5,48.51171565055847,39,13,0,12,0.8571428571428571,0.52,0.0
fdr+imp,3,PRECISION_WASTE,64,52,12,38,0.0206521739130434,26.5,48.51171565055847,51,7,1,5,0.9272727272727272,0.5833333333333334,0.0192307692307692
fdr+imp,3,BRANCH_MISPREDICTION,64,22,42,1,0.0005434782608695,26.5,48.51171565055847,21,0,1,42,0.9767441860465116,0.0,0.0454545454545454
fdr+imp,3,CACHE_PRESSURE,64,16,48,48,0.0260869565217391,26.5,48.51171565055847,15,0,1,48,0.967741935483871,0.0,0.0625
fdr+imp,3,INTRA_NODE_LOAD_IMBALANCE,64,47,17,2,0.0010869565217391,26.5,48.51171565055847,47,0,0,17,1.0,0.0,0.0
fdr+imp,4,PIPELINE_STALL,72,29,43,26,0.0141304347826086,20.33333333333333,47.4012188911438,29,0,0,43,1.0,0.0,0.0
fdr+imp,4,COMPUTE_UNDERUTILIZATION,72,44,28,32,0.017391304347826,20.33333333333333,47.4012188911438,44,2,0,26,0.9777777777777776,0.0714285714285714,0.0
fdr+imp,4,PRECISION_WASTE,72,47,25,28,0.0152173913043478,20.33333333333333,47.4012188911438,47,6,0,19,0.94,0.24,0.0
fdr+imp,4,BRANCH_MISPREDICTION,72,0,72,2,0.0010869565217391,20.33333333333333,47.4012188911438,0,0,0,72,,0.0,
fdr+imp,4,CACHE_PRESSURE,72,49,23,31,0.0168478260869565,20.33333333333333,47.4012188911438,35,11,14,12,0.7368421052631581,0.4782608695652174,0.2857142857142857
fdr+imp,4,INTRA_NODE_LOAD_IMBALANCE,72,6,66,3,0.0016304347826086,20.33333333333333,47.4012188911438,6,0,0,66,1.0,0.0,0.0
fdr_only,1,PIPELINE_STALL,69,13,56,188,0.1021739130434782,586.3333333333334,47.48291397094727,13,5,0,51,0.8387096774193548,0.0892857142857142,0.0
fdr_only,1,COMPUTE_UNDERUTILIZATION,69,30,39,764,0.4152173913043478,586.3333333333334,47.48291397094727,30,10,0,29,0.8571428571428571,0.2564102564102564,0.0
fdr_only,1,PRECISION_WASTE,69,53,16,356,0.1934782608695652,586.3333333333334,47.48291397094727,53,0,0,16,1.0,0.0,0.0
fdr_only,1,BRANCH_MISPREDICTION,69,15,54,722,0.3923913043478261,586.3333333333334,47.48291397094727,15,0,0,54,1.0,0.0,0.0
fdr_only,1,CACHE_PRESSURE,69,20,49,797,0.4331521739130435,586.3333333333334,47.48291397094727,15,9,5,40,0.6818181818181818,0.1836734693877551,0.25
fdr_only,1,INTRA_NODE_LOAD_IMBALANCE,69,30,39,691,0.3755434782608696,586.3333333333334,47.48291397094727,28,0,2,39,0.9655172413793104,0.0,0.0666666666666666
fdr_only,2,PIPELINE_STALL,76,14,62,173,0.0940217391304347,578.3333333333334,46.23602771759033,14,6,0,56,0.8235294117647058,0.0967741935483871,0.0
fdr_only,2,COMPUTE_UNDERUTILIZATION,76,60,16,692,0.3760869565217391,578.3333333333334,46.23602771759033,60,1,0,15,0.9917355371900828,0.0625,0.0
fdr_only,2,PRECISION_WASTE,76,47,29,402,0.2184782608695652,578.3333333333334,46.23602771759033,47,27,0,2,0.7768595041322314,0.9310344827586208,0.0
fdr_only,2,BRANCH_MISPREDICTION,76,37,39,762,0.4141304347826087,578.3333333333334,46.23602771759033,19,0,18,39,0.6785714285714285,0.0,0.4864864864864865
fdr_only,2,CACHE_PRESSURE,76,14,62,706,0.383695652173913,578.3333333333334,46.23602771759033,14,0,0,62,1.0,0.0,0.0
fdr_only,2,INTRA_NODE_LOAD_IMBALANCE,76,58,18,735,0.3994565217391304,578.3333333333334,46.23602771759033,58,0,0,18,1.0,0.0,0.0
fdr_only,3,PIPELINE_STALL,64,38,26,181,0.0983695652173913,642.5,48.67283987998962,34,2,4,24,0.918918918918919,0.0769230769230769,0.1052631578947368
fdr_only,3,COMPUTE_UNDERUTILIZATION,64,39,25,778,0.4228260869565217,642.5,48.67283987998962,39,13,0,12,0.8571428571428571,0.52,0.0
fdr_only,3,PRECISION_WASTE,64,52,12,641,0.3483695652173913,642.5,48.67283987998962,51,7,1,5,0.9272727272727272,0.5833333333333334,0.0192307692307692
fdr_only,3,BRANCH_MISPREDICTION,64,22,42,799,0.4342391304347826,642.5,48.67283987998962,21,0,1,42,0.9767441860465116,0.0,0.0454545454545454
fdr_only,3,CACHE_PRESSURE,64,16,48,723,0.3929347826086956,642.5,48.67283987998962,15,0,1,48,0.967741935483871,0.0,0.0625
fdr_only,3,INTRA_NODE_LOAD_IMBALANCE,64,47,17,733,0.3983695652173913,642.5,48.67283987998962,47,0,0,17,1.0,0.0,0.0
fdr_only,4,PIPELINE_STALL,72,29,43,92,0.05,611.6666666666666,47.9086172580719,29,0,0,43,1.0,0.0,0.0
fdr_only,4,COMPUTE_UNDERUTILIZATION,72,44,28,814,0.4423913043478261,611.6666666666666,47.9086172580719,44,2,0,26,0.9777777777777776,0.0714285714285714,0.0
fdr_only,4,PRECISION_WASTE,72,47,25,493,0.2679347826086956,611.6666666666666,47.9086172580719,47,6,0,19,0.94,0.24,0.0
fdr_only,4,BRANCH_MISPREDICTION,72,0,72,773,0.4201086956521739,611.6666666666666,47.9086172580719,0,0,0,72,,0.0,
fdr_only,4,CACHE_PRESSURE,72,49,23,753,0.4092391304347826,611.6666666666666,47.9086172580719,35,11,14,12,0.7368421052631581,0.4782608695652174,0.2857142857142857
fdr_only,4,INTRA_NODE_LOAD_IMBALANCE,72,6,66,745,0.4048913043478261,611.6666666666666,47.9086172580719,6,0,0,66,1.0,0.0,0.0
imp_only,1,PIPELINE_STALL,69,13,56,59,0.0320652173913043,29.5,66.58485269546509,13,3,0,53,0.896551724137931,0.0535714285714285,0.0
imp_only,1,COMPUTE_UNDERUTILIZATION,69,30,39,43,0.0233695652173913,29.5,66.58485269546509,30,26,0,13,0.6976744186046512,0.6666666666666666,0.0
imp_only,1,PRECISION_WASTE,69,53,16,21,0.0114130434782608,29.5,66.58485269546509,53,0,0,16,1.0,0.0,0.0
imp_only,1,BRANCH_MISPREDICTION,69,15,54,1,0.0005434782608695,29.5,66.58485269546509,15,0,0,54,1.0,0.0,0.0
imp_only,1,CACHE_PRESSURE,69,20,49,50,0.0271739130434782,29.5,66.58485269546509,15,9,5,40,0.6818181818181818,0.1836734693877551,0.25
imp_only,1,INTRA_NODE_LOAD_IMBALANCE,69,30,39,3,0.0016304347826086,29.5,66.58485269546509,29,0,1,39,0.983050847457627,0.0,0.0333333333333333
imp_only,2,PIPELINE_STALL,76,14,62,44,0.0239130434782608,31.0,66.14124774932861,14,14,0,48,0.6666666666666666,0.2258064516129032,0.0
imp_only,2,COMPUTE_UNDERUTILIZATION,76,60,16,42,0.0228260869565217,31.0,66.14124774932861,60,0,0,16,1.0,0.0,0.0
imp_only,2,PRECISION_WASTE,76,47,29,41,0.0222826086956521,31.0,66.14124774932861,47,27,0,2,0.7768595041322314,0.9310344827586208,0.0
imp_only,2,BRANCH_MISPREDICTION,76,37,39,1,0.0005434782608695,31.0,66.14124774932861,17,0,20,39,0.6296296296296297,0.0,0.5405405405405406
imp_only,2,CACHE_PRESSURE,76,14,62,57,0.0309782608695652,31.0,66.14124774932861,14,0,0,62,1.0,0.0,0.0
imp_only,2,INTRA_NODE_LOAD_IMBALANCE,76,58,18,1,0.0005434782608695,31.0,66.14124774932861,58,0,0,18,1.0,0.0,0.0
imp_only,3,PIPELINE_STALL,64,38,26,41,0.0222826086956521,33.666666666666664,66.80223345756531,22,3,16,23,0.6984126984126985,0.1153846153846153,0.4210526315789473
imp_only,3,COMPUTE_UNDERUTILIZATION,64,39,25,54,0.0293478260869565,33.666666666666664,66.80223345756531,39,13,0,12,0.8571428571428571,0.52,0.0
imp_only,3,PRECISION_WASTE,64,52,12,45,0.0244565217391304,33.666666666666664,66.80223345756531,52,7,0,5,0.936936936936937,0.5833333333333334,0.0
imp_only,3,BRANCH_MISPREDICTION,64,22,42,1,0.0005434782608695,33.666666666666664,66.80223345756531,22,0,0,42,1.0,0.0,0.0
imp_only,3,CACHE_PRESSURE,64,16,48,59,0.0320652173913043,33.666666666666664,66.80223345756531,15,0,1,48,0.967741935483871,0.0,0.0625
imp_only,3,INTRA_NODE_LOAD_IMBALANCE,64,47,17,2,0.0010869565217391,33.666666666666664,66.80223345756531,47,0,0,17,1.0,0.0,0.0
imp_only,4,PIPELINE_STALL,72,29,43,66,0.0358695652173913,28.33333333333333,65.8271791934967,29,0,0,43,1.0,0.0,0.0
imp_only,4,COMPUTE_UNDERUTILIZATION,72,44,28,36,0.0195652173913043,28.33333333333333,65.8271791934967,44,2,0,26,0.9777777777777776,0.0714285714285714,0.0
imp_only,4,PRECISION_WASTE,72,47,25,29,0.0157608695652173,28.33333333333333,65.8271791934967,47,21,0,4,0.817391304347826,0.84,0.0
imp_only,4,BRANCH_MISPREDICTION,72,0,72,2,0.0010869565217391,28.33333333333333,65.8271791934967,0,0,0,72,,0.0,
imp_only,4,CACHE_PRESSURE,72,49,23,34,0.0184782608695652,28.33333333333333,65.8271791934967,35,11,14,12,0.7368421052631581,0.4782608695652174,0.2857142857142857
imp_only,4,INTRA_NODE_LOAD_IMBALANCE,72,6,66,3,0.0016304347826086,28.33333333333333,65.8271791934967,6,0,0,66,1.0,0.0,0.0
none,1,PIPELINE_STALL,69,13,56,1840,1.0,1840.0,74.73888325691223,13,3,0,53,0.896551724137931,0.0535714285714285,0.0
none,1,COMPUTE_UNDERUTILIZATION,69,30,39,1840,1.0,1840.0,74.73888325691223,30,26,0,13,0.6976744186046512,0.6666666666666666,0.0
none,1,PRECISION_WASTE,69,53,16,1840,1.0,1840.0,74.73888325691223,53,0,0,16,1.0,0.0,0.0
none,1,BRANCH_MISPREDICTION,69,15,54,1840,1.0,1840.0,74.73888325691223,15,0,0,54,1.0,0.0,0.0
none,1,CACHE_PRESSURE,69,20,49,1840,1.0,1840.0,74.73888325691223,15,9,5,40,0.6818181818181818,0.1836734693877551,0.25
none,1,INTRA_NODE_LOAD_IMBALANCE,69,30,39,1840,1.0,1840.0,74.73888325691223,29,0,1,39,0.983050847457627,0.0,0.0333333333333333
none,2,PIPELINE_STALL,76,14,62,1840,1.0,1840.0,74.76368188858032,14,14,0,48,0.6666666666666666,0.2258064516129032,0.0
none,2,COMPUTE_UNDERUTILIZATION,76,60,16,1840,1.0,1840.0,74.76368188858032,60,0,0,16,1.0,0.0,0.0
none,2,PRECISION_WASTE,76,47,29,1840,1.0,1840.0,74.76368188858032,47,27,0,2,0.7768595041322314,0.9310344827586208,0.0
none,2,BRANCH_MISPREDICTION,76,37,39,1840,1.0,1840.0,74.76368188858032,17,0,20,39,0.6296296296296297,0.0,0.5405405405405406
none,2,CACHE_PRESSURE,76,14,62,1840,1.0,1840.0,74.76368188858032,14,0,0,62,1.0,0.0,0.0
none,2,INTRA_NODE_LOAD_IMBALANCE,76,58,18,1840,1.0,1840.0,74.76368188858032,58,0,0,18,1.0,0.0,0.0
none,3,PIPELINE_STALL,64,38,26,1840,1.0,1840.0,75.81712603569031,22,3,16,23,0.6984126984126985,0.1153846153846153,0.4210526315789473
none,3,COMPUTE_UNDERUTILIZATION,64,39,25,1840,1.0,1840.0,75.81712603569031,39,13,0,12,0.8571428571428571,0.52,0.0
none,3,PRECISION_WASTE,64,52,12,1840,1.0,1840.0,75.81712603569031,52,7,0,5,0.936936936936937,0.5833333333333334,0.0
none,3,BRANCH_MISPREDICTION,64,22,42,1840,1.0,1840.0,75.81712603569031,22,0,0,42,1.0,0.0,0.0
none,3,CACHE_PRESSURE,64,16,48,1840,1.0,1840.0,75.81712603569031,15,0,1,48,0.967741935483871,0.0,0.0625
none,3,INTRA_NODE_LOAD_IMBALANCE,64,47,17,1840,1.0,1840.0,75.81712603569031,47,0,0,17,1.0,0.0,0.0
none,4,PIPELINE_STALL,72,29,43,1840,1.0,1840.0,74.77502584457397,29,0,0,43,1.0,0.0,0.0
none,4,COMPUTE_UNDERUTILIZATION,72,44,28,1840,1.0,1840.0,74.77502584457397,44,2,0,26,0.9777777777777776,0.0714285714285714,0.0
