n_train_apps,combo_idx,train_apps,bottleneck_type,threshold_used,cv_enabled,f1,false_alarm_rate,miss_rate,tp,fp,fn,tn
2,0,"['48295', '48304']",PRECISION_WASTE,0.5,False,0.75,0.5142857142857142,0.2826086956521739,132,36,52,34
2,0,"['48295', '48304']",CACHE_PRESSURE,0.5,False,0.4576802507836991,0.9555555555555556,0.0135135135135135,73,172,1,8
2,1,"['48269', '48293']",PRECISION_WASTE,0.5,False,0.8056872037914692,1.0,0.0058479532163742,170,81,1,0
2,1,"['48269', '48293']",CACHE_PRESSURE,0.5,False,0.3739837398373983,0.0898203592814371,0.7294117647058823,23,15,62,152
2,1,"['48269', '48293']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,,0.0952380952380952,1.0,0,12,126,114
2,2,"['48267', '48289']",PIPELINE_STALL,0.5,False,0.247787610619469,0.0838323353293413,0.8352941176470589,14,14,71,153
2,2,"['48267', '48289']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7862068965517242,0.1058823529411764,0.3173652694610778,114,9,53,76
2,2,"['48267', '48289']",CACHE_PRESSURE,0.5,False,0.7461139896373057,0.2514285714285714,0.0649350649350649,72,44,5,131
2,2,"['48267', '48289']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8294573643410853,0.1367521367521367,0.2074074074074074,107,16,28,101
2,3,"['48274', '48276']",PIPELINE_STALL,0.5,False,0.0530973451327433,0.1637426900584795,0.9634146341463414,3,28,79,143
2,3,"['48274', '48276']",BRANCH_MISPREDICTION,0.5,False,0.907563025210084,0.0,0.1692307692307692,54,0,11,188
2,3,"['48274', '48276']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6212534059945504,1.0,0.0,114,139,0,0
2,4,"['48273', '48295']",PIPELINE_STALL,0.5,False,0.4403669724770642,0.5142857142857142,0.4,48,90,32,85
2,4,"['48273', '48295']",BRANCH_MISPREDICTION,0.5,False,0.6060606060606061,0.4,0.0,60,78,0,117
2,4,"['48273', '48295']",CACHE_PRESSURE,0.5,False,0.8074534161490683,0.0479041916167664,0.2613636363636363,65,8,23,159
2,4,"['48273', '48295']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7547169811320755,0.296875,0.2125984251968504,100,38,27,90
2,5,"['48273', '48289']",PIPELINE_STALL,0.5,False,0.4896551724137931,0.8222222222222222,0.0,71,148,0,32
2,5,"['48273', '48289']",COMPUTE_UNDERUTILIZATION,0.5,False,0.8085106382978724,0.1530612244897959,0.2549019607843137,114,15,39,83
2,5,"['48273', '48289']",PRECISION_WASTE,0.5,False,0.7885117493472584,0.7205882352941176,0.174863387978142,151,49,32,19
2,5,"['48273', '48289']",BRANCH_MISPREDICTION,0.5,False,0.8288288288288289,0.0261780104712041,0.2333333333333333,46,5,14,186
2,5,"['48273', '48289']",CACHE_PRESSURE,0.5,False,0.484375,0.0434782608695652,0.6555555555555556,31,7,59,154
2,5,"['48273', '48289']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.84,0.1846153846153846,0.1322314049586777,105,24,16,106
2,6,"['48269', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.676923076923077,0.1368421052631579,0.4465408805031446,88,13,71,82
2,6,"['48269', '48284']",PRECISION_WASTE,0.5,False,0.6430678466076697,0.6470588235294118,0.4139784946236559,109,44,77,24
2,6,"['48269', '48284']",BRANCH_MISPREDICTION,0.5,False,0.7453416149068323,0.211340206185567,0.0,60,41,0,153
2,6,"['48269', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8771929824561404,0.0078740157480314,0.2125984251968504,100,1,27,126
2,7,"['48269', '48290']",PIPELINE_STALL,0.5,False,0.4342105263157895,0.2126436781609195,0.5975609756097561,33,37,49,137
2,7,"['48269', '48290']",CACHE_PRESSURE,0.5,False,0.6751592356687899,0.1005917159763313,0.3908045977011494,53,17,34,152
2,8,"['48300', '48284']",PRECISION_WASTE,0.5,False,0.0631578947368421,0.0,0.967391304347826,6,0,178,67
2,9,"['48290', '48304']",PIPELINE_STALL,0.5,False,0.2068965517241379,0.127906976744186,0.8536585365853658,12,22,70,150
2,9,"['48290', '48304']",COMPUTE_UNDERUTILIZATION,0.5,False,0.8179419525065962,0.6875,0.0189873417721519,155,66,3,30
2,9,"['48290', '48304']",CACHE_PRESSURE,0.5,False,0.4464831804281345,1.0,0.0,73,181,0,0
2,10,"['48269', '48276']",COMPUTE_UNDERUTILIZATION,0.5,False,0.6770428015564202,0.1368421052631579,0.445859872611465,87,13,70,82
2,10,"['48269', '48276']",BRANCH_MISPREDICTION,0.5,False,0.8793103448275863,0.0,0.2153846153846154,51,0,14,187
2,10,"['48269', '48276']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7884615384615385,0.0,0.3492063492063492,82,0,44,126
2,11,"['48291', '48283']",PIPELINE_STALL,0.5,False,0.5196078431372549,0.44,0.2837837837837837,53,77,21,98
2,11,"['48291', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7096774193548387,0.0219780219780219,0.4430379746835443,88,2,70,89
2,11,"['48291', '48283']",PRECISION_WASTE,0.5,False,0.7042253521126761,0.0151515151515151,0.453551912568306,100,1,83,65
2,11,"['48291', '48283']",CACHE_PRESSURE,0.5,False,0.8333333333333333,0.1893491124260355,0.0,80,32,0,137
2,11,"['48291', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.0759493670886076,0.2113821138211382,0.9523809523809524,6,26,120,97
2,12,"['48278', '48308']",PIPELINE_STALL,0.5,False,0.0219780219780219,0.0,0.9888888888888888,1,0,89,162
2,12,"['48278', '48308']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7336683417085427,1.0,0.0,146,106,0,0
2,12,"['48278', '48308']",PRECISION_WASTE,0.5,False,0.8905852417302799,0.5072463768115942,0.0437158469945355,175,35,8,34
2,12,"['48278', '48308']",CACHE_PRESSURE,0.5,False,,0.0,1.0,0,0,98,154
2,13,"['48267', '48290']",PIPELINE_STALL,0.5,False,0.3846153846153846,0.3735632183908046,0.573170731707317,35,65,47,109
2,14,"['48267', '48307']",PIPELINE_STALL,0.5,False,0.1318681318681318,0.0,0.9294117647058824,6,0,79,168
2,14,"['48267', '48307']",COMPUTE_UNDERUTILIZATION,0.5,False,0.725925925925926,0.1473684210526315,0.379746835443038,98,14,60,81
2,14,"['48267', '48307']",BRANCH_MISPREDICTION,0.5,False,0.6900584795321637,0.2731958762886597,0.0,59,53,0,141
2,14,"['48267', '48307']",CACHE_PRESSURE,0.5,False,0.7456140350877194,0.3413173652694611,0.0116279069767441,85,57,1,110
2,14,"['48267', '48307']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8907563025210083,0.0472440944881889,0.1587301587301587,106,6,20,121
2,15,"['48269', '48278']",PIPELINE_STALL,0.5,False,,0.006060606060606,1.0,0,1,90,164
2,15,"['48269', '48278']",COMPUTE_UNDERUTILIZATION,0.5,False,0.4423076923076923,0.0,0.7160493827160493,46,0,116,93
2,15,"['48269', '48278']",PRECISION_WASTE,0.5,False,0.8627450980392158,0.6666666666666666,0.053763440860215,176,46,10,23
2,15,"['48269', '48278']",CACHE_PRESSURE,0.5,False,,0.0,1.0,0,0,98,157
2,16,"['48273', '48276']",PIPELINE_STALL,0.5,False,0.1221374045801526,0.2514619883040935,0.9,8,43,72,128
2,16,"['48273', '48276']",PRECISION_WASTE,0.5,False,0.9479166666666669,0.2794117647058823,0.0054644808743169,182,19,1,49
2,16,"['48273', '48276']",BRANCH_MISPREDICTION,0.5,False,0.8947368421052632,0.06,0.0,51,12,0,188
