n_train_apps,combo_idx,train_apps,bottleneck_type,threshold_used,cv_enabled,f1,false_alarm_rate,miss_rate,tp,fp,fn,tn
2,0,"['48295', '48304']",PRECISION_WASTE,0.5,False,0.6744186046511628,0.6285714285714286,0.3695652173913043,116,44,68,26
2,1,"['48269', '48293']",PRECISION_WASTE,0.5,False,0.8085106382978724,1.0,0.0,171,81,0,0
2,1,"['48269', '48293']",CACHE_PRESSURE,0.5,False,,0.0,1.0,0,0,85,167
2,1,"['48269', '48293']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,,0.0,1.0,0,0,126,126
2,2,"['48267', '48289']",PIPELINE_STALL,0.5,False,,0.1437125748502994,1.0,0,24,85,143
2,2,"['48267', '48289']",COMPUTE_UNDERUTILIZATION,0.5,False,0.8208469055374593,0.1647058823529411,0.2455089820359281,126,14,41,71
2,2,"['48267', '48289']",CACHE_PRESSURE,0.5,False,0.6031746031746031,0.0628571428571428,0.5064935064935064,38,11,39,164
2,2,"['48267', '48289']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8290909090909091,0.2222222222222222,0.1555555555555555,114,26,21,91
2,3,"['48274', '48276']",PIPELINE_STALL,0.5,False,0.0919540229885057,0.0058479532163742,0.951219512195122,4,1,78,170
2,3,"['48274', '48276']",BRANCH_MISPREDICTION,0.5,False,0.907563025210084,0.0,0.1692307692307692,54,0,11,188
2,3,"['48274', '48276']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6212534059945504,1.0,0.0,114,139,0,0
2,4,"['48273', '48295']",PIPELINE_STALL,0.5,False,0.4606060606060606,0.9942857142857144,0.05,76,174,4,1
2,4,"['48273', '48295']",BRANCH_MISPREDICTION,0.5,False,0.3870967741935484,0.9743589743589745,0.0,60,190,0,5
2,4,"['48273', '48295']",CACHE_PRESSURE,0.5,False,0.0869565217391304,0.0,0.9545454545454546,4,0,84,167
2,4,"['48273', '48295']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6737400530503979,0.9609375,0.0,127,123,0,5
2,5,"['48273', '48289']",PIPELINE_STALL,0.5,False,0.3100775193798449,0.2111111111111111,0.7183098591549296,20,38,51,142
2,5,"['48273', '48289']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7569060773480664,0.7346938775510204,0.1045751633986928,137,72,16,26
2,5,"['48273', '48289']",PRECISION_WASTE,0.5,False,0.9606299212598424,0.2205882352941176,0.0,183,15,0,53
2,5,"['48273', '48289']",BRANCH_MISPREDICTION,0.5,False,0.2300884955752212,0.2094240837696335,0.7833333333333333,13,40,47,151
