fold,app,bottleneck_type,n_windows,n_positive,n_negative,n_features,tp,fp,fn,tn,f1,false_alarm_rate,miss_rate,mcc,roc_auc,pr_auc
1,48267,PIPELINE_STALL,13,0,13,141,0,0,0,13,,0.0,,,,
1,48267,COMPUTE_UNDERUTILIZATION,13,0,13,419,0,0,0,13,,0.0,,,,
1,48267,PRECISION_WASTE,13,13,0,275,13,0,0,0,1.0,,0.0,,,
1,48267,BRANCH_MISPREDICTION,13,0,13,405,0,0,0,13,,0.0,,,,
1,48267,CACHE_PRESSURE,13,13,0,440,13,0,0,0,1.0,,0.0,,,
1,48267,INTRA_NODE_LOAD_IMBALANCE,13,0,13,362,0,0,0,13,,0.0,,,,
2,48269,PIPELINE_STALL,13,0,13,141,0,0,0,13,,0.0,,,,
2,48269,COMPUTE_UNDERUTILIZATION,13,0,13,430,0,0,0,13,,0.0,,,,
2,48269,PRECISION_WASTE,13,13,0,260,13,0,0,0,1.0,,0.0,,,
2,48269,BRANCH_MISPREDICTION,13,0,13,393,0,0,0,13,,0.0,,,,
2,48269,CACHE_PRESSURE,13,0,13,437,0,12,0,1,,0.9230769230769231,,,,
2,48269,INTRA_NODE_LOAD_IMBALANCE,13,0,13,367,0,0,0,13,,0.0,,,,
3,48270,PIPELINE_STALL,13,10,3,130,10,2,0,1,0.9090909090909091,0.6666666666666666,0.0,0.5270462766947299,0.9833333333333334,0.990909090909091
3,48270,COMPUTE_UNDERUTILIZATION,13,0,13,439,0,13,0,0,,1.0,,,,
3,48270,PRECISION_WASTE,13,13,0,259,13,0,0,0,1.0,,0.0,,,
3,48270,BRANCH_MISPREDICTION,13,6,7,309,6,7,0,0,0.631578947368421,1.0,0.0,,0.9999999999999999,1.0
3,48270,CACHE_PRESSURE,13,0,13,450,0,0,0,13,,0.0,,,,
3,48270,INTRA_NODE_LOAD_IMBALANCE,13,13,0,384,13,0,0,0,1.0,,0.0,,,
4,48273,PIPELINE_STALL,14,14,0,169,8,0,6,0,0.7272727272727273,,0.42857142857142855,,,
4,48273,COMPUTE_UNDERUTILIZATION,14,14,0,432,14,0,0,0,1.0,,0.0,,,
4,48273,PRECISION_WASTE,14,0,14,254,0,0,0,14,,0.0,,,,
4,48273,BRANCH_MISPREDICTION,14,14,0,377,14,0,0,0,1.0,,0.0,,,
4,48273,CACHE_PRESSURE,14,0,14,435,0,0,0,14,,0.0,,,,
4,48273,INTRA_NODE_LOAD_IMBALANCE,14,14,0,350,14,0,0,0,1.0,,0.0,,,
5,48274,PIPELINE_STALL,12,12,0,169,11,0,1,0,0.9565217391304348,,0.08333333333333333,,,
5,48274,COMPUTE_UNDERUTILIZATION,12,12,0,442,12,0,0,0,1.0,,0.0,,,
5,48274,PRECISION_WASTE,12,12,0,257,10,0,2,0,0.9090909090909091,,0.16666666666666666,,,
5,48274,BRANCH_MISPREDICTION,12,0,12,404,0,0,0,12,,0.0,,,,
5,48274,CACHE_PRESSURE,12,0,12,448,0,0,0,12,,0.0,,,,
5,48274,INTRA_NODE_LOAD_IMBALANCE,12,12,0,360,12,0,0,0,1.0,,0.0,,,
6,48276,PIPELINE_STALL,16,0,16,124,0,0,0,16,,0.0,,,,
6,48276,COMPUTE_UNDERUTILIZATION,16,16,0,456,16,0,0,0,1.0,,0.0,,,
6,48276,PRECISION_WASTE,16,16,0,277,16,0,0,0,1.0,,0.0,,,
6,48276,BRANCH_MISPREDICTION,16,9,7,235,9,7,0,0,0.72,1.0,0.0,,0.9047619047619048,0.9080246913580248
6,48276,CACHE_PRESSURE,16,0,16,437,0,0,0,16,,0.0,,,,
6,48276,INTRA_NODE_LOAD_IMBALANCE,16,15,1,314,15,1,0,0,0.967741935483871,1.0,0.0,,1.0,1.0
7,48278,PIPELINE_STALL,13,4,9,131,4,0,0,9,1.0,0.0,0.0,1.0,1.0,1.0
7,48278,COMPUTE_UNDERUTILIZATION,13,11,2,346,11,2,0,0,0.9166666666666666,1.0,0.0,,0.7272727272727273,0.9543335452426361
7,48278,PRECISION_WASTE,13,0,13,260,0,0,0,13,,0.0,,,,
7,48278,BRANCH_MISPREDICTION,13,0,13,416,0,0,0,13,,0.0,,,,
7,48278,CACHE_PRESSURE,13,1,12,388,1,10,0,2,0.16666666666666669,0.8333333333333334,0.0,0.12309149097933272,1.0,1.0
7,48278,INTRA_NODE_LOAD_IMBALANCE,13,0,13,357,0,7,0,6,,0.5384615384615384,,,,
8,48289,PIPELINE_STALL,16,9,7,111,9,1,0,6,0.9473684210526316,0.14285714285714285,0.0,0.8783100656536799,1.0,1.0000000000000002
8,48289,COMPUTE_UNDERUTILIZATION,16,6,10,432,6,0,0,10,1.0,0.0,0.0,1.0,1.0,1.0
8,48289,PRECISION_WASTE,16,16,0,263,16,0,0,0,1.0,,0.0,,,
8,48289,BRANCH_MISPREDICTION,16,0,16,420,0,0,0,16,,0.0,,,,
8,48289,CACHE_PRESSURE,16,9,7,453,9,1,0,6,0.9473684210526316,0.14285714285714285,0.0,0.8783100656536799,1.0,1.0
8,48289,INTRA_NODE_LOAD_IMBALANCE,16,6,10,379,6,0,0,10,1.0,0.0,0.0,1.0,1.0,1.0
9,48307,PIPELINE_STALL,15,9,6,139,9,4,0,2,0.8181818181818181,0.6666666666666666,0.0,0.4803844614152614,1.0,1.0
9,48307,COMPUTE_UNDERUTILIZATION,15,15,0,416,15,0,0,0,1.0,,0.0,,,
9,48307,PRECISION_WASTE,15,15,0,274,15,0,0,0,1.0,,0.0,,,
9,48307,BRANCH_MISPREDICTION,15,15,0,386,15,0,0,0,1.0,,0.0,,,
9,48307,CACHE_PRESSURE,15,0,15,432,0,0,0,15,,0.0,,,,
9,48307,INTRA_NODE_LOAD_IMBALANCE,15,15,0,368,15,0,0,0,1.0,,0.0,,,
10,48290,PIPELINE_STALL,12,12,0,107,12,0,0,0,1.0,,0.0,,,
10,48290,COMPUTE_UNDERUTILIZATION,12,0,12,441,0,0,0,12,,0.0,,,,
10,48290,PRECISION_WASTE,12,12,0,282,12,0,0,0,1.0,,0.0,,,
10,48290,BRANCH_MISPREDICTION,12,0,12,416,0,0,0,12,,0.0,,,,
10,48290,CACHE_PRESSURE,12,12,0,409,11,0,1,0,0.9565217391304348,,0.08333333333333333,,,
10,48290,INTRA_NODE_LOAD_IMBALANCE,12,0,12,362,0,0,0,12,,0.0,,,,
11,48291,PIPELINE_STALL,16,16,0,105,16,0,0,0,1.0,,0.0,,,
11,48291,COMPUTE_UNDERUTILIZATION,16,0,16,431,0,0,0,16,,0.0,,,,
11,48291,PRECISION_WASTE,16,16,0,281,16,0,0,0,1.0,,0.0,,,
11,48291,BRANCH_MISPREDICTION,16,0,16,418,0,0,0,16,,0.0,,,,
11,48291,CACHE_PRESSURE,16,14,2,408,0,0,14,2,,0.0,1.0,,1.0,1.0
11,48291,INTRA_NODE_LOAD_IMBALANCE,16,0,16,358,0,1,0,15,,0.0625,,,,
12,48293,PIPELINE_STALL,16,0,16,160,0,15,0,1,,0.9375,,,,
12,48293,COMPUTE_UNDERUTILIZATION,16,0,16,421,0,0,0,16,,0.0,,,,
12,48293,PRECISION_WASTE,16,15,1,236,15,1,0,0,0.967741935483871,1.0,0.0,,1.0,1.0
12,48293,BRANCH_MISPREDICTION,16,0,16,421,0,0,0,16,,0.0,,,,
12,48293,CACHE_PRESSURE,16,14,2,430,14,0,0,2,1.0,0.0,0.0,1.0,1.0,1.0
12,48293,INTRA_NODE_LOAD_IMBALANCE,16,15,1,310,15,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0
13,48295,PIPELINE_STALL,12,0,12,136,0,0,0,12,,0.0,,,,
13,48295,COMPUTE_UNDERUTILIZATION,12,12,0,422,12,0,0,0,1.0,,0.0,,,
13,48295,PRECISION_WASTE,12,0,12,286,0,0,0,12,,0.0,,,,
13,48295,BRANCH_MISPREDICTION,12,0,12,387,0,0,0,12,,0.0,,,,
13,48295,CACHE_PRESSURE,12,11,1,473,11,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0
13,48295,INTRA_NODE_LOAD_IMBALANCE,12,0,12,390,0,0,0,12,,0.0,,,,
14,48300,PIPELINE_STALL,16,0,16,132,0,0,0,16,,0.0,,,,
14,48300,COMPUTE_UNDERUTILIZATION,16,16,0,439,16,0,0,0,1.0,,0.0,,,
14,48300,PRECISION_WASTE,16,15,1,245,15,1,0,0,0.967741935483871,1.0,0.0,,1.0,1.0
14,48300,BRANCH_MISPREDICTION,16,16,0,417,16,0,0,0,1.0,,0.0,,,
14,48300,CACHE_PRESSURE,16,0,16,457,0,0,0,16,,0.0,,,,
14,48300,INTRA_NODE_LOAD_IMBALANCE,16,16,0,355,16,0,0,0,1.0,,0.0,,,
15,48304,PIPELINE_STALL,15,0,15,127,0,0,0,15,,0.0,,,,
15,48304,COMPUTE_UNDERUTILIZATION,15,15,0,369,15,0,0,0,1.0,,0.0,,,
15,48304,PRECISION_WASTE,15,15,0,253,15,0,0,0,1.0,,0.0,,,
15,48304,BRANCH_MISPREDICTION,15,0,15,425,0,0,0,15,,0.0,,,,
15,48304,CACHE_PRESSURE,15,14,1,435,14,0,0,1,1.0,0.0,0.0,1.0,1.0,0.9999999999999999
15,48304,INTRA_NODE_LOAD_IMBALANCE,15,0,15,376,0,0,0,15,,0.0,,,,
16,48305,PIPELINE_STALL,12,0,12,129,0,0,0,12,,0.0,,,,
