fold,app,bottleneck_type,n_windows,n_positive,n_negative,n_features,tp,fp,fn,tn,f1,false_alarm_rate,miss_rate,mcc,roc_auc,pr_auc
1,48267,PIPELINE_STALL,13,0,13,43,0,0,0,13,,0.0,,,,
1,48267,COMPUTE_UNDERUTILIZATION,13,0,13,47,0,0,0,13,,0.0,,,,
1,48267,PRECISION_WASTE,13,13,0,20,13,0,0,0,1.0,,0.0,,,
1,48267,BRANCH_MISPREDICTION,13,0,13,1,0,0,0,13,,0.0,,,,
1,48267,CACHE_PRESSURE,13,13,0,55,13,0,0,0,1.0,,0.0,,,
1,48267,INTRA_NODE_LOAD_IMBALANCE,13,0,13,3,0,0,0,13,,0.0,,,,
2,48269,PIPELINE_STALL,13,0,13,48,0,0,0,13,,0.0,,,,
2,48269,COMPUTE_UNDERUTILIZATION,13,0,13,53,0,0,0,13,,0.0,,,,
2,48269,PRECISION_WASTE,13,13,0,20,13,0,0,0,1.0,,0.0,,,
2,48269,BRANCH_MISPREDICTION,13,0,13,1,0,0,0,13,,0.0,,,,
2,48269,CACHE_PRESSURE,13,0,13,67,0,0,0,13,,0.0,,,,
2,48269,INTRA_NODE_LOAD_IMBALANCE,13,0,13,3,0,0,0,13,,0.0,,,,
3,48270,PIPELINE_STALL,13,10,3,33,10,3,0,0,0.8695652173913044,1.0,0.0,,1.0,1.0
3,48270,COMPUTE_UNDERUTILIZATION,13,0,13,42,0,13,0,0,,1.0,,,,
3,48270,PRECISION_WASTE,13,13,0,20,13,0,0,0,1.0,,0.0,,,
3,48270,BRANCH_MISPREDICTION,13,6,7,1,5,0,1,7,0.9090909090909091,0.0,0.16666666666666666,0.8539125638299666,0.9166666666666667,0.9102564102564104
3,48270,CACHE_PRESSURE,13,0,13,56,0,0,0,13,,0.0,,,,
3,48270,INTRA_NODE_LOAD_IMBALANCE,13,13,0,3,13,0,0,0,1.0,,0.0,,,
4,48273,PIPELINE_STALL,14,14,0,39,14,0,0,0,1.0,,0.0,,,
4,48273,COMPUTE_UNDERUTILIZATION,14,14,0,50,14,0,0,0,1.0,,0.0,,,
4,48273,PRECISION_WASTE,14,0,14,21,0,0,0,14,,0.0,,,,
4,48273,BRANCH_MISPREDICTION,14,14,0,34,14,0,0,0,1.0,,0.0,,,
4,48273,CACHE_PRESSURE,14,0,14,50,0,0,0,14,,0.0,,,,
4,48273,INTRA_NODE_LOAD_IMBALANCE,14,14,0,2,14,0,0,0,1.0,,0.0,,,
5,48274,PIPELINE_STALL,12,12,0,28,11,0,1,0,0.9565217391304348,,0.08333333333333333,,,
5,48274,COMPUTE_UNDERUTILIZATION,12,12,0,44,12,0,0,0,1.0,,0.0,,,
5,48274,PRECISION_WASTE,12,12,0,20,0,0,12,0,,,1.0,,,
5,48274,BRANCH_MISPREDICTION,12,0,12,37,0,0,0,12,,0.0,,,,
5,48274,CACHE_PRESSURE,12,0,12,53,0,0,0,12,,0.0,,,,
5,48274,INTRA_NODE_LOAD_IMBALANCE,12,12,0,3,12,0,0,0,1.0,,0.0,,,
6,48276,PIPELINE_STALL,16,0,16,44,0,0,0,16,,0.0,,,,
6,48276,COMPUTE_UNDERUTILIZATION,16,16,0,49,16,0,0,0,1.0,,0.0,,,
6,48276,PRECISION_WASTE,16,16,0,22,16,0,0,0,1.0,,0.0,,,
6,48276,BRANCH_MISPREDICTION,16,9,7,1,9,1,0,6,0.9473684210526316,0.14285714285714285,0.0,0.8783100656536799,0.9285714285714286,0.9
6,48276,CACHE_PRESSURE,16,0,16,59,0,0,0,16,,0.0,,,,
6,48276,INTRA_NODE_LOAD_IMBALANCE,16,15,1,3,15,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0
7,48278,PIPELINE_STALL,13,4,9,41,4,0,0,9,1.0,0.0,0.0,1.0,1.0,1.0
7,48278,COMPUTE_UNDERUTILIZATION,13,11,2,49,11,2,0,0,0.9166666666666666,1.0,0.0,,1.0,1.0
7,48278,PRECISION_WASTE,13,0,13,16,0,0,0,13,,0.0,,,,
7,48278,BRANCH_MISPREDICTION,13,0,13,1,0,0,0,13,,0.0,,,,
7,48278,CACHE_PRESSURE,13,1,12,44,1,12,0,0,0.14285714285714288,1.0,0.0,,0.8333333333333334,0.25
7,48278,INTRA_NODE_LOAD_IMBALANCE,13,0,13,3,0,0,0,13,,0.0,,,,
8,48289,PIPELINE_STALL,16,9,7,30,9,0,0,7,1.0,0.0,0.0,1.0,1.0,1.0
8,48289,COMPUTE_UNDERUTILIZATION,16,6,10,53,6,0,0,10,1.0,0.0,0.0,1.0,1.0,1.0
8,48289,PRECISION_WASTE,16,16,0,18,16,0,0,0,1.0,,0.0,,,
8,48289,BRANCH_MISPREDICTION,16,0,16,2,0,0,0,16,,0.0,,,,
8,48289,CACHE_PRESSURE,16,9,7,59,9,1,0,6,0.9473684210526316,0.14285714285714285,0.0,0.8783100656536799,1.0,1.0
8,48289,INTRA_NODE_LOAD_IMBALANCE,16,6,10,3,6,0,0,10,1.0,0.0,0.0,1.0,1.0,1.0
9,48307,PIPELINE_STALL,15,9,6,53,9,6,0,0,0.7499999999999999,1.0,0.0,,0.8703703703703703,0.9166666666666667
9,48307,COMPUTE_UNDERUTILIZATION,15,15,0,39,15,0,0,0,1.0,,0.0,,,
9,48307,PRECISION_WASTE,15,15,0,20,15,0,0,0,1.0,,0.0,,,
9,48307,BRANCH_MISPREDICTION,15,15,0,1,15,0,0,0,1.0,,0.0,,,
9,48307,CACHE_PRESSURE,15,0,15,54,0,0,0,15,,0.0,,,,
9,48307,INTRA_NODE_LOAD_IMBALANCE,15,15,0,2,15,0,0,0,1.0,,0.0,,,
10,48290,PIPELINE_STALL,12,12,0,35,12,0,0,0,1.0,,0.0,,,
10,48290,COMPUTE_UNDERUTILIZATION,12,0,12,50,0,0,0,12,,0.0,,,,
10,48290,PRECISION_WASTE,12,12,0,22,12,0,0,0,1.0,,0.0,,,
10,48290,BRANCH_MISPREDICTION,12,0,12,35,0,0,0,12,,0.0,,,,
10,48290,CACHE_PRESSURE,12,12,0,57,11,0,1,0,0.9565217391304348,,0.08333333333333333,,,
10,48290,INTRA_NODE_LOAD_IMBALANCE,12,0,12,3,0,0,0,12,,0.0,,,,
11,48291,PIPELINE_STALL,16,16,0,43,16,0,0,0,1.0,,0.0,,,
11,48291,COMPUTE_UNDERUTILIZATION,16,0,16,49,0,0,0,16,,0.0,,,,
11,48291,PRECISION_WASTE,16,16,0,23,16,0,0,0,1.0,,0.0,,,
11,48291,BRANCH_MISPREDICTION,16,0,16,2,0,0,0,16,,0.0,,,,
11,48291,CACHE_PRESSURE,16,14,2,61,0,0,14,2,,0.0,1.0,,1.0,1.0
11,48291,INTRA_NODE_LOAD_IMBALANCE,16,0,16,3,0,0,0,16,,0.0,,,,
12,48293,PIPELINE_STALL,16,0,16,45,0,1,0,15,,0.0625,,,,
12,48293,COMPUTE_UNDERUTILIZATION,16,0,16,48,0,0,0,16,,0.0,,,,
12,48293,PRECISION_WASTE,16,15,1,19,15,1,0,0,0.967741935483871,1.0,0.0,,1.0,1.0
12,48293,BRANCH_MISPREDICTION,16,0,16,2,0,0,0,16,,0.0,,,,
12,48293,CACHE_PRESSURE,16,14,2,49,14,0,0,2,1.0,0.0,0.0,1.0,1.0,1.0
12,48293,INTRA_NODE_LOAD_IMBALANCE,16,15,1,3,15,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0
13,48295,PIPELINE_STALL,12,0,12,44,0,0,0,12,,0.0,,,,
13,48295,COMPUTE_UNDERUTILIZATION,12,12,0,57,12,0,0,0,1.0,,0.0,,,
13,48295,PRECISION_WASTE,12,0,12,28,0,0,0,12,,0.0,,,,
13,48295,BRANCH_MISPREDICTION,12,0,12,35,0,0,0,12,,0.0,,,,
13,48295,CACHE_PRESSURE,12,11,1,55,11,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0
13,48295,INTRA_NODE_LOAD_IMBALANCE,12,0,12,3,0,0,0,12,,0.0,,,,
14,48300,PIPELINE_STALL,16,0,16,43,0,1,0,15,,0.0625,,,,
14,48300,COMPUTE_UNDERUTILIZATION,16,16,0,46,16,0,0,0,1.0,,0.0,,,
14,48300,PRECISION_WASTE,16,15,1,19,15,1,0,0,0.967741935483871,1.0,0.0,,1.0,1.0
14,48300,BRANCH_MISPREDICTION,16,16,0,1,16,0,0,0,1.0,,0.0,,,
14,48300,CACHE_PRESSURE,16,0,16,52,0,0,0,16,,0.0,,,,
14,48300,INTRA_NODE_LOAD_IMBALANCE,16,16,0,3,16,0,0,0,1.0,,0.0,,,
15,48304,PIPELINE_STALL,15,0,15,47,0,0,0,15,,0.0,,,,
15,48304,COMPUTE_UNDERUTILIZATION,15,15,0,40,15,0,0,0,1.0,,0.0,,,
15,48304,PRECISION_WASTE,15,15,0,21,15,0,0,0,1.0,,0.0,,,
15,48304,BRANCH_MISPREDICTION,15,0,15,2,0,0,0,15,,0.0,,,,
15,48304,CACHE_PRESSURE,15,14,1,67,14,1,0,0,0.9655172413793104,1.0,0.0,,1.0,1.0
15,48304,INTRA_NODE_LOAD_IMBALANCE,15,0,15,3,0,0,0,15,,0.0,,,,
16,48305,PIPELINE_STALL,12,0,12,45,0,0,0,12,,0.0,,,,
16,48305,COMPUTE_UNDERUTILIZATION,12,0,12,36,0,6,0,6,,0.5,,,,
16,48305,PRECISION_WASTE,12,12,0,20,12,0,0,0,1.0,,0.0,,,
16,48305,BRANCH_MISPREDICTION,12,0,12,32,0,0,0,12,,0.0,,,,
16,48305,CACHE_PRESSURE,12,2,10,70,2,9,0,1,0.3076923076923077,0.9,0.0,0.13483997249264842,0.9500000000000001,0.8333333333333333
16,48305,INTRA_NODE_LOAD_IMBALANCE,12,0,12,3,0,0,0,12,,0.0,,,,
17,48308,PIPELINE_STALL,16,0,16,48,0,0,0,16,,0.0,,,,
17,48308,COMPUTE_UNDERUTILIZATION,16,16,0,44,16,0,0,0,1.0,,0.0,,,
17,48308,PRECISION_WASTE,16,16,0,35,0,0,16,0,,,1.0,,,
17,48308,BRANCH_MISPREDICTION,16,0,16,2,0,0,0,16,,0.0,,,,
17,48308,CACHE_PRESSURE,16,0,16,57,0,0,0,16,,0.0,,,,
17,48308,INTRA_NODE_LOAD_IMBALANCE,16,0,16,3,0,0,0,16,,0.0,,,,
18,48283,PIPELINE_STALL,16,4,12,40,4,0,0,12,1.0,0.0,0.0,1.0,1.0,1.0
18,48283,COMPUTE_UNDERUTILIZATION,16,15,1,47,15,1,0,0,0.967741935483871,1.0,0.0,,0.7333333333333333,0.9814987789987789
18,48283,PRECISION_WASTE,16,0,16,19,0,0,0,16,,0.0,,,,
18,48283,BRANCH_MISPREDICTION,16,0,16,2,0,0,0,16,,0.0,,,,
18,48283,CACHE_PRESSURE,16,5,11,26,0,0,5,11,,0.0,1.0,,0.8545454545454546,0.7809523809523808
18,48283,INTRA_NODE_LOAD_IMBALANCE,16,15,1,3,13,0,2,1,0.9285714285714286,0.0,0.13333333333333333,0.53748384988657,0.9333333333333333,0.9916666666666667
19,48284,PIPELINE_STALL,14,0,14,36,0,11,0,3,,0.7857142857142857,,,,
19,48284,COMPUTE_UNDERUTILIZATION,14,14,0,51,14,0,0,0,1.0,,0.0,,,
19,48284,PRECISION_WASTE,14,0,14,26,0,0,0,14,,0.0,,,,
19,48284,BRANCH_MISPREDICTION,14,14,0,31,14,0,0,0,1.0,,0.0,,,
19,48284,CACHE_PRESSURE,14,0,14,55,0,0,0,14,,0.0,,,,
19,48284,INTRA_NODE_LOAD_IMBALANCE,14,14,0,2,14,0,0,0,1.0,,0.0,,,
20,48303,PIPELINE_STALL,11,4,7,43,0,0,4,7,,0.0,1.0,,1.0,1.0
20,48303,COMPUTE_UNDERUTILIZATION,11,11,0,52,11,0,0,0,1.0,,0.0,,,
20,48303,PRECISION_WASTE,11,0,11,26,0,6,0,5,,0.5454545454545454,,,,
20,48303,BRANCH_MISPREDICTION,11,0,11,1,0,0,0,11,,0.0,,,,
20,48303,CACHE_PRESSURE,11,4,7,57,4,0,0,7,1.0,0.0,0.0,1.0,1.0,1.0
20,48303,INTRA_NODE_LOAD_IMBALANCE,11,6,5,3,6,0,0,5,1.0,0.0,0.0,1.0,1.0,1.0
