strategy,elapsed_seconds,max_rss_mb,n_windows,runtime
heuristic,1.86,84.1,3,2
heuristic,2.22,85.7,6,5
heuristic,3.6,93.0,16,15
heuristic,5.55,104.7,31,30
heuristic,8.96,130.3,61,60
heuristic,13.54,178.9,121,120
heuristic,28.2,276.8,241,240
heuristic,52.74,468.8,481,480
heuristic,87.45,641.5,721,720
rf,2.86,275.9,3,2
rf,7.47,275.0,6,5
rf,14.58,280.2,16,15
rf,23.84,285.7,31,30
rf,44.2,308.3,61,60
rf,86.17,356.6,121,120
rf,166.05,453.7,241,240
rf,340.15,646.3,481,480
rf,519.02,818.2,721,720
xgboost,5.78,261.6,3,2
xgboost,6.28,263.9,6,5
xgboost,10.11,266.3,16,15
xgboost,23.53,275.0,31,30
xgboost,35.7,296.0,61,60
xgboost,67.45,345.5,121,120
xgboost,138.21,442.3,241,240
xgboost,266.85,635.8,481,480
xgboost,404.6,808.1,721,720
